,name,veggie,vegan,beef,pork,chicken,fish,healthy,Italy,Turkey,Japan,Austria,China,y
0,Hausgemachtes Rindsgulasch mit Butterspätzle,False,False,True,False,False,False,False,False,False,False,True,False,1
0,Großmutters Kalbsrahmbeuschl mit Semmelknödel,False,False,True,False,False,False,False,False,False,False,True,False,1
0,Hausgemachtes Rindsgulasch mit Butterspätzle,False,False,True,False,False,False,False,False,False,False,True,False,1
0,"Schweinsschopfbraten mit Semmelknödel, Bratkartoffel und Krautsalat",False,False,True,False,False,False,False,False,False,False,True,False,0
0,"Pinzgauer Kasnocken im Pfandl serviert, dazu grüner Salat",True,False,False,False,False,False,False,False,False,False,True,False,1
0,Gefüllte Steinpilztascherl mit brauner Butter und Parmesan,True,False,False,False,False,False,True,False,False,False,True,False,0
0,Spaghetti mit Shrimps in einer feinen Knoblauchrahmsauce,False,False,False,False,False,True,True,False,False,False,True,False,0
0,Cordon bleu von der Pute mit Petersilkartoffel und Preiselbeeren,False,False,False,False,True,False,True,False,False,False,True,False,1
0,"Gebackenes Hausschnitzel gefüllt mit Schinken, Käse, Champignon und Paprika dazu Petersilkartoffel und Preiselbeeren",False,False,False,True,False,False,False,False,False,False,True,False,0
0,Wiener Schnitzel (vom Schwein) mit Petersilkartoffel und gemischtem Salat,False,False,False,True,False,False,False,False,False,False,True,False,0
0,Wiener Schnitzel (vom Kalb) mit Petersilkartoffel und Preiselbeeren,False,False,True,False,False,False,False,False,False,False,True,False,1
0,Gebackenes Hühnerbrüstl mit Kartoffelsalat und Sauce Tartar,False,False,False,False,True,False,True,False,False,False,True,False,1
0,"Tafelspitz mit Röstkartoffel, feinem Cremespinat und Apfelkren",False,False,True,False,False,False,True,False,False,False,True,False,1
0,Zwiebelrostbraten von der Beiried mit Röstkartoffel,False,False,True,False,False,False,False,False,False,False,True,False,1
0,Luxemburger Beiriedspiess an Pfefferrahmsauce mit Speckbohnen und Kroketten,False,False,True,False,False,False,False,False,False,False,True,False,1
0,"Grillteller mit Gemüse, Pommes Frittes und Kräuterbutter",False,False,True,True,True,False,False,False,False,False,True,False,1
0,Gebratenes Zanderfilet in Knoblauchbutter mit Petersilkartoffel und grünem Salat,False,False,False,False,False,True,True,False,False,False,True,False,0
0,Gebratenes Lachssteak auf Juliennegemüse mit Petersilkartoffel und  Rieslingsauce,False,False,False,False,False,True,False,False,False,False,True,False,0
0,Wiener Schnitzl,False,False,False,True,False,False,False,False,False,False,True,False,1
0,Cordon Bleu,False,False,False,True,False,False,False,False,False,False,True,False,0
0,Salzburger Schnitzl,False,False,False,True,False,False,False,False,False,False,True,False,1
0,Pariser Putenschnitzl,False,False,False,False,True,False,False,False,False,False,True,False,1
0,Gebackenes Putenschnitzl,False,False,False,False,True,False,False,False,False,False,True,False,1
0,Champignonschnitzl mit Reis,False,False,False,True,False,False,False,False,False,False,True,False,0
